Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Atwood, Margaret",The Handmaid's Tale,Baldwinsville Central School District,New York,not applicable,,Formal Challenge Filed,Challenged - Prob. on shelves,challenged in board meeting,,,,,,,January 2022
"Kobabe, Maia",GEnder Queer: A Memoir,Baltimore County Public Schools,Maryland,n/a,social media,Informal Challenge,no action yet,,,,,,,,
"Evison, Jonathan",Lawn Boy,Bastrop,Texas,not applicable,,No Challenge Filed,n/a,Never in libraries - mistaken identity,,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,Bastrop,Texas,not applicable,,No Challenge Filed,Status of Book Unknown,unclear status as no complaint was followed,,,,,,,
"Morrison, Toni",Beloved,Bedford,Virginia,yes,,Formal Challenge Filed,Temporary Ban,?,,,,,,,
"Wall, Jeanette",The Glass Castle,Bedford,Virginia,not applicable,,Formal Challenge Filed,pending process,SD said they should stay on shelves,,,,,,,
"Hosseini, Khaled",The Kite Runner,Bedford,Virginia,not applicable,,Formal Challenge Filed,pending process,SD said they should stay on shelves,,,,,,,
"Levithan, David",Two Boys Kissing,Bedford,Virginia,not applicable,,Formal Challenge Filed,n/a,Was not even in Bedford School Libraries,,,,,,,
,All Boys Aren't Blue,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
,Beautiful Music for Ugly Children,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
"Morrison, Toni",Beloved,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
,Freak Boy,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
,Glass Castle,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
,Kite Runner,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
,Love Drugged,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
,Murder Trending,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
"Gino, Alex",RICK,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
"Morrison, Toni",The Bluest Eye,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
,What My Mother Doesn't Know,Bedford County School District ,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,
"Maas, Sarah J",A Court of Mist and Fury,Bentonville,Arkansas,n/a,,Informal Challenge (eg Board Meeting Public Comments),Challenge in board meeting,February 2022,,,,,,,
"MOrrison, Toni",The Bluest Eye,Bentonville,Arkansas,n/a,,Informal Challenge (eg Board Meeting Public Comments),Challenge in board meeting,February 2022,,,,,,,
"Roy, Arundhati",The God of Small Things,Bentonville,Arkansas,n/a,,Informal Challenge (eg Board Meeting Public Comments),Challenge in board meeting,February 2022,,,,,,,
"Hosseini, Khaled",The Kite Runner,Bentonville,Arkansas,n/a,,Informal Challenge (eg Board Meeting Public Comments),Challenge in board meeting,February 2022,,,,,,,
"Morrison, Toni",The Bluest Eye,Berkeley County Schools,West Virginia,not applicable,,No Challenge Filed,challenged in board meeting,unknown,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Billings Public Schools,Montana,not applicable,"""explicit sexual descriptions""",yes,retained,Challenged; Retained; Appealed; Remove Recommended; Retained,,,,,,,
"Evison, Jonthan",Lawn Boy,Billings Public Schools,Montana,not applicable,"""explicit sexual descriptions""",yes,Retained,Challenged; Retained; Appealed; Retained,,,,,,,
"Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out",Birdville,Texas,yes,,yes,Status of Book Unknown,emailed parent 11/21,,social media,no,,,,
"Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out",Birdville,Texas,yes,,yes,Status of Book Unknown,already under review,,social media,no,,,,
"Bechdel, Alison",FUN HOME: A Family Tragicomic,Birdville,Texas,yes,,yes,Status of Book Unknown,11/21 - acknowledged complaint,,social media,no,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Birdville,Texas,yes,Richland High School,Formal Challenge Filed,Banned,Removed from RHS and all Birdville ISD Collections,,media attention and other districts,no,,,,
"Haris, Robie","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health",Birdville,Texas,yes,,yes,Status of Book Unknown,emailed parent 11/21,,my child checked out the book and brought it home,yes,,,,
"Rosen, LC",Jack of Hearts and Other Parts,Birdville,Texas,yes,,yes,Status of Book Unknown,Emailed 3 requests 11/21,,,no,,,,
,Kite Runner,Birdville,Texas,yes,complaint incorrectly identified author - Mariko Tamaki,yes,Status of Book Unknown,emailed parent 11/21,,moms in the community,no,,,,
"Myracle, Lauren","L8r, G8r",Birdville,Texas,yes,,yes,Status of Book Unknown,11/21 - acknowledged complaint,,social media,no,,,,
"Jackson, Tiffany D.",Monday's Not Coming,Birdville,Texas,yes,Parent - Birdville HIgh School,yes,pending,Committee review scheduled for 11/2021,,another parent,no,,,,
"Steinbeck, JOhn",Of Mice and Men,Birdville,Texas,yes,,yes,Restricted Permanently,Removed from general circulum - will become AP liberature circle - available in library,,classroom read aloud,yes,,,,
"Perez, Ashley Hope",Out of Darkness,Birdville,Texas,yes,,yes,Status of Book Unknown,,,social media and other parents reading these books at other board meetings,no,,,,
"Fleischman, Paul",Seedfolks,Birdville,Texas,yes,,yes,Restricted Permanently,Challenged - Will be used in instruction and literature circules grades 7 and above,,whole book,yes,,,,
"Morrison, Toni",The Bluest Eye,Birdville,Texas,yes,,yes,Status of Book Unknown,,,book excerpt,no,,,,
"Tamaki, Mariko and Jillian Tamaki",This One Summer,Birdville,Texas,yes,,yes,Status of Book Unknown,,,social media,no,,,,
"Hutchinson, Shaun David",We Are the Ants,Birdville,Texas,yes,,yes,Status of Book Unknown,,,social media and book exerpts,no,,,,
"Asher, Jay",13 Reasons Why,Bixby Public Schools,Oklahoma,n/a,After community challenge Bixby Public Schools willkeep pair of books in library,Formal Challenge Filed,Retained,,,,,,,,
"Andrews, Jesse",Me and Earl and the Dying Girl,Bixby Public Schools,Oklahoma,n/a,After community challenge Bixby Public Schools willkeep pair of books in library,Formal Challenge Filed,Retained,,,,,,,,
"Yep, Laurence",Dragonwings,Blount County Schools,Tennessee,yes,,yes,Restricted Permanently,Removed from Union Grove Middle School - but left available at other middle schools,,,,,,,
"Andrews, Jesse","Me, Earl and the Dying GIrl",Blount County Schools,Tennessee,yes,,no,Banned,NOv 21 removed from Carpenters Middle School LIbrary because the principal saw comments on line,,,,,,,
"Bechdel, Alison",FUN Home; A Tragic Comic,Blue Valley USD 229,Kansas,n/a,,Formal Challenge Filed ,Retained March 2022,,,,,,,,
"Kobabe, Maia",GEnder Queer: A Memoir,Blue Valley USD 229,Kansas,n/a,,Formal Challenge Filed ,Retained March 2022,,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Bremerton,Washington,yes,,yes,Banned,,,,,,,,
"Andrews, Jesse",The Haters,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Returned to Shelves,,,,,,,,
"Arnold, Elana K.",Damsel,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 4/6 schools,,,,,,,,
"Arnold, Elana K.",Infandous,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 1/2,,,,,,,,
"Arnold, Elana K.",Red Hood,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 3/4,,,,,,,,
"Arnold, Elana K.",What Girls Are Made Of,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 2/5,,,,,,,,
"Blume, Judy",Forever,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 3/6,,,,,,,,
"Chbosky, Stephen",The Perks of Being a Wallflower,Brevard County Public Schools,Florida,yes,LIst 4,End run around challenge process,in quarentine,CHALLENGED AWAING REVIEW ,,,,,,,
"Dawson, Juno",This Book is Gay,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,BANNED,4/2022,,,,,,,
"Hopkins, Ellen",Crank,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 2/14 schools,,,,,,,,
"Hopkins, Ellen",Tilt,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 1/11 schools,,,,,,,,
"Hopkins, Ellen",Triangles,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,BANNED,4/2022,,,,,,,
"Hopkins, Ellen",Tricks,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 3/11 schools,,,,,,,,
"Hopkins, Ellen",People Kill People,Brevard County Public Schools,Florida,yes,LIst 4,End run around challenge process,in quarentine,,,,,,,,
"Hosseini, Khaled",The Kite Runner,Brevard County Public Schools,Florida,yes,LIst 4,End run around challenge process,in quarentine,,,,,,,,
"Jackson, Tiffany D.",Monday's Not Coming ,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 2/15 schools - ,available ebook,,,,,,,
"Johnson, George M",All Boys Aren't Blue,Brevard County Public Schools,Florida,yes,LIst 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Kaur, Rupi",Milk and Honey,Brevard County Public Schools,Florida,yes,LIst 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Kepnes, Caroline",YOU: A Novel,Brevard County Public Schools,Florida,yes,List 3,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Brevard County Public Schools,Florida,yes,Superintendent initiatied,no,Removed,Removed,,without following disrict procedures,,,,,
"Lo, Malinda",Last Night at the Telegraph Club,Brevard County Public Schools,Florida,yes,List 3,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 3/13 schools removed ebook,,,,,,,,
"Maas, Sarah J.",A Court of Silver Flames,Brevard County Public Schools,Florida,yes,List 3,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Maas, Sarah J.",A Court of Thorns and Roses,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Maas, Sarah J.",A Court of Frost and Starlight,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Maas, Sarah J.",A Court of Wings and Ruin,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Maas, Sarah J.",Empire of Storms,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Maas, Sarah J.",House of Earth and Blood,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Maas, Sarah J.",House of Sky and Breath,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"McCormick, Patricia",Sold,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,removed 2/15 schools,,,,,,,,
"Myracle, Lauren",The Infinite Moment of Us,Brevard County Public Schools,Florida,yes,List 3,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Niven, Jennifer",Breathless,Brevard County Public Schools,Florida,yes,List 3,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Perez, Ashley Hope",Out of Darkness,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Reed, Amy",The Nowhere Girls,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,removed 1/15 schools no ebook,,,,,,,,
"Reed, Amy",Beautiful,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Rooney, Sally",Normal People,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
Sapphire,Push,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,removed 1/2 schools no ebook,,,,,,,,
"Scheeres, Julia",Jesus Land: A Memoir,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Scott, Elizabeth",Living Dead Girl,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Seabold, Alice",Lucky ,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,removed 5/7 schools no ebook,,,,,,,,
"Smyth, Ciara",Not My Problem,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,returned to Shelves,,,,,,,,
"Tamaki, Mariko",This One Summer,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,removed 2/10 schools no ebook,,,,,,,,
"Vonnegut, Kurt",Slaughterhouse Five,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,
"Maas, Sarah",A Court of Frost and Starlight,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Restricted Permanently,Remain in high school library - flagged for 16+ content,High School Only; Flagged 16+,,,,,,
"Reynolds, Jason and Brendan Kiely",All American Boys,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Restricted Permanently,remain in high school library`,High School Only,,,,,,
"Glines, Abbi",Bad for You,Bristow Public Schools,Oklahoma,yes,,yes,Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",,,,,,,
"Oliver, Lauren",Before I Fall,Bristow Public Schools,Oklahoma,yes,,yes,Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",,,,,,,
"Septys, Ruta",Between Shades of Gray,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - High School Library",moved to high school library from middle school library,,,,,,,
"Anaya, Rudolfo",Bless Me Ultima,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",,,,,,,
"Huxley, Aldous",Brave New World,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Restricted Permanently,moved to AP Classroom at the high school,Retained - AP HS Classroom,On AP recommended list - Not taught in class as a whole,,,,,
"Patterson, Katherine",Bridge to Terabithia,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Restricted Permanently,will remain in Collins Middle School Library,will remain in Collins Middle School Library,,,,,,
"Oliver, Lauren",Broken Things,Bristow Public Schools,Oklahoma,yes,,yes,Restricted Permanently,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Retained - High School Only; Flagged 16+,,,,,,
"Hopkins, Ellen",Burned,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Restricted Permanently,Remain in high school library - flagged for 16+ content,Retained - High School Only; Flagged 16+,,,,,,
"Hopkins, Ellen",Crank,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Restricted Permanently,Remain in high school library - flagged for 16+ content,Remain in high school library - flagged for 16+ content,,,,,,
"White, Kiersten",Dark Descent of Elizabeth Frankenstein,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - High School Library",moved to high school library from middle school library,,,,,,,
"Meyer, Stephenie",Eclipse,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - Grade 8 Classroom
Unknown - High School",moved to 8th grade english classroom ,,will remain in High School library,,,,,
"Meyer, Marissa",Fairest: LEvana's Story,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - High School Library",moved to high school library from middle school library,,,,,,,
"Lockington, Mariama J",For Black Girls Like Me,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Retained - Middle School Library,will remain in middle school library,,,,,,,
"Levithan, David",Hold Me Closer,Bristow Public Schools,Oklahoma,yes,,yes,unclear,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",,,,,,,
"Roux, Madeleine",House of Furies,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Retained - HIgh School Library,Will remain in High school library,,,,,,,
"Angelu, Maya",I Know Why The Caged Bird Sings,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - High School Library
Retained - AP Classroom",moved to AP Classroom at the high school,,,,,,,
"Forman, Gayle",I was Here,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Retained - HIgh School Library,Will remain in High school library,,,,,,,
"Arnold, Elana K.",Infandous,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Retained - High School Only; Flagged 16+,Remain in high school library - flagged for 16+ content,,,,,,,
"Green, John",Looking for Alaska,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Retained - High School Only; Flagged 16+,Remain in high school library - flagged for 16+ content,,,,,,,
"Golding, William",Lord of the Flies,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Retained - Grade 7 Classroom
Banned Middle School Library
Unknown- High School Library",moved to 7th grade English classroom and will remain in high school library,,AP Suggested Reading List ,,,,,
"Pierce, Tamora",Mastif,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Retained - HIgh School Library,remain in high school library`,,,,,,,
"Gino, Alex",Melissa (George),Bristow Public Schools,Oklahoma,yes,,yes,unclear,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",,,,,,,
"Steinbeck, John",Of Mice and Men,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Retained - AP Classes
Banned - HIgh School Libraries",Will remain as part of AP classes,,,,,,,
"Schwartz, Alvin",Scary Stories to Tell in the Dark,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Retained - HIgh School LIbrary
Retained - Middle School Library",Will remain in High school library,,will remain in middle school library,,,,,
"Anderson, Laurie Halse",Speak,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - High School Library",moved to high school library from middle school library,,,,,,,
"Wingarten, Lynn",Suicide Notes From Beautiful Girls,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Retained - High School Only; Flagged 16+,Remain in high school library - flagged for 16+ content,,,,,,,
"Garvin, Jeff",Symptoms of Being Human,Bristow Public Schools,Oklahoma,yes,,yes,unclear,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",,,,,,,
"Alexie, Sherman",The Absolutely True Diary of A Part Time Indian,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - High School Library",remain in high school library`,,,,,,,
"Morrison, Toni",The Bluest Eye,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Retained - AP Classes
Banned - HIgh School Libraries",moved to AP Classroom at the high school,,On AP recommended list - Not taught in class as a whole,,,,,
"Thomas, Angie",The Hate U Give,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - High School Library",remain in high school library`,,,,,,,
"Ten Boom, Corrie, John Sherril, et al",The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Bristow Public Schools,Oklahoma,yes,,yes,unclear,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",,,,,,,
"Sebold, Alice",The Lovely Bones,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Retained - High School Only; Flagged 16+,Remain in high school library - flagged for 16+ content,,,,,,,
"Hinton, SE",The Outsiders,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - 8th Grade English Classroom",moved to 8th grade english classroom ,,will remain in High School library,,,,,
"Smith, Amber",The Way I used to Be,Bristow Public Schools,Oklahoma,yes,,yes,unclear,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",,,,,,,
"Asher, Jay",Thirteen Reasons Why,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - High School Library",remain in high school library`,,,,,,,
"Crutcher, Chris",Whale Talk,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,"Banned - Middle School Library
Retained - High School Library",Will remain in High school library,,,,,,,
"Telgemeier, Raina",Drama,Brookfield Schools,,,,yes,pending,Challenged - remaining on shelf during challenge,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Canutillo Independent School District,Texas,yes,,yes,retained,Temporarily Removed while under review - returned to shelves as of 12/14/21,,,,,,,
"Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out",Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
"Myracle, Lauren","L8R, G8R",Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
"Evison, Jonathan",Lawn Boy,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
"Nabokov, Vladimir",Lolita,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,
