level_0,old_index,State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s),description,publishedDate,categories,cluster,pca1,pca2,pca3
10,10,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Tilt,,,,"Three teens, connected by their parents' bad choices, tell in their own voices of their lives and loves as Shane finds his first boyfriend, Mikayla discovers that love can be pushed too far, and Harley loses herself in her quest for new experiences.",2014-02-11,juvenile fiction,8,-4.536843,2.1918998,2.8065226
11,11,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Triangles,,,,"Three female friends face midlife crises in a no-holds-barred exploration of sex, marriage, and the fragility of life.",2012-06-26,fiction,8,-2.8722882,4.4858875,1.5951653
12,12,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Tricks (Tricks Series),,,,"Five troubled teenagers fall into prostitution as they search for freedom, safety, community, family, and love in this #1 New York Times bestselling novel from Ellen Hopkins. “When all choice is taken from you, life becomes a game of survival.” Five teenagers from different parts of the country. Three girls. Two guys. Four straight. One gay. Some rich. Some poor. Some from great families. Some with no one at all. All living their lives as best they can, but all searching…for freedom, safety, community, family, love. What they don’t expect, though, is all that can happen when those powerful little words “I love you” are said for all the wrong reasons. Five moving stories remain separate at first, then interweave to tell a larger, powerful story—a story about making choices, taking leaps of faith, falling down, and growing up. A story about kids figuring out what sex and love are all about, at all costs, while asking themselves, “Can I ever feel okay about myself?” A brilliant achievement from New York Times bestselling author Ellen Hopkins—who has been called “the bestselling living poet in the country” by Mediabistro.com—Tricks is a book that turns you on and repels you at the same time. Just like so much of life.",2009-08-25,young adult fiction,8,-1.3971452,2.0799193,0.6046872
13,13,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Jackson, Tiffany D.",Monday's Not Coming,,,,"""Jackson’s characters and their heart-wrenching story linger long after the final page, urging readers to advocate for those who are disenfranchised and forgotten by society and the system."" (Publishers Weekly, ""An Anti-Racist Children's and YA Reading List"") From the critically acclaimed author of Allegedly, Tiffany D. Jackson, comes a gripping novel about the mystery of one teenage girl’s disappearance and the traumatic effects of the truth. Monday Charles is missing, and only Claudia seems to notice. Claudia and Monday have always been inseparable—more sisters than friends. So when Monday doesn’t turn up for the first day of school, Claudia’s worried. When she doesn’t show for the second day, or second week, Claudia knows that something is wrong. Monday wouldn’t just leave her to endure tests and bullies alone. Not after last year’s rumors and not with her grades on the line. Now Claudia needs her best—and only—friend more than ever. But Monday’s mother refuses to give Claudia a straight answer, and Monday’s sister April is even less help. As Claudia digs deeper into her friend’s disappearance, she discovers that no one seems to remember the last time they saw Monday. How can a teenage girl just vanish without anyone noticing that she’s gone?",2018-05-22,young adult fiction,6,-0.6288454,0.44116658,1.6958008
14,15,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Mist and Fury,,,,"The seductive and stunning #1 New York Times bestselling sequel to Sarah J. Maas's spellbinding A Court of Thorns and Roses. Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people. As her marriage to Tamlin approaches, Feyre's hollowness and nightmares consume her. She finds herself split into two different people: one who upholds her bargain with Rhysand, High Lord of the feared Night Court, and one who lives out her life in the Spring Court with Tamlin. While Feyre navigates a dark web of politics, passion, and dazzling power, a greater evil looms. She might just be the key to stopping it, but only if she can harness her harrowing gifts, heal her fractured soul, and decide how she wishes to shape her future-and the future of a world in turmoil. Bestselling author Sarah J. Maas's masterful storytelling brings this second book in her dazzling, sexy, action-packed series to new heights.",2016-05-03,fiction,2,-1.253258,-1.4151125,-0.66647947
15,16,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"McCormick, Patricia",Sold,,,,"The powerful, poignant, bestselling National Book Award Finalist gives voice to a young girl robbed of her childhood yet determined to find the strength to triumph Lakshmi is a thirteen-year-old girl who lives with her family in a small hut on a mountain in Nepal. Though she is desperately poor, her life is full of simple pleasures, like playing hopscotch with her best friend from school, and having her mother brush her hair by the light of an oil lamp. But when the harsh Himalayan monsoons wash away all that remains of the family's crops, Lakshmi's stepfather says she must leave home and take a job to support her family. He introduces her to a glamorous stranger who tells her she will find her a job as a maid in the city. Glad to be able to help, Lakshmi journeys to India and arrives at ""Happiness House"" full of hope. But she soon learns the unthinkable truth: she has been sold into prostitution. An old woman named Mumtaz rules the brothel with cruelty and cunning. She tells Lakshmi that she is trapped there until she can pay off her family's debt-then cheats Lakshmi of her meager earnings so that she can never leave. Lakshmi's life becomes a nightmare from which she cannot escape. Still, she lives by her mother's words-Simply to endure is to triumph-and gradually, she forms friendships with the other girls that enable her to survive in this terrifying new world. Then the day comes when she must make a decision-will she risk everything for a chance to reclaim her life? Written in spare and evocative vignettes by the co-author of I Am Malala (Young Readers Edition), this powerful novel renders a world that is as unimaginable as it is real, and a girl who not only survives but triumphs.",2010-07-10,juvenile fiction,10,-3.8696613,-0.5275828,-3.0701208
16,17,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Reed, Amy",The Nowhere Girls,,,,"“A call-to-action to everyone out there who wants to fight back.” —Bustle “Scandal, justice, romance, sex positivity, subversive anti-sexism—just try to put it down.” —Kirkus Reviews (starred review) “Cuts straight to the core of rape culture—masterfully fierce, stirring, and deeply empowering.” —Amber Smith, New York Times bestselling author of The Way I Used to Be Three misfits come together to avenge the rape of a fellow classmate and trigger a change in the misogynist culture at their high school transforming the lives of everyone around them in this searing and timely story. Who are the Nowhere Girls? They’re everygirl. But they start with just three: Grace Salter is the new girl in town, whose family was run out of their former community after her southern Baptist preacher mom turned into a radical liberal after falling off a horse and bumping her head. Rosina Suarez is the queer punk girl in a conservative Mexican immigrant family, who dreams of a life playing music instead of babysitting her gaggle of cousins and waitressing at her uncle’s restaurant. Erin Delillo is obsessed with two things: marine biology and Star Trek: The Next Generation, but they aren’t enough to distract her from her suspicion that she may in fact be an android. When Grace learns that Lucy Moynihan, the former occupant of her new home, was run out of town for having accused the popular guys at school of gang rape, she’s incensed that Lucy never had justice. For their own personal reasons, Rosina and Erin feel equally deeply about Lucy’s tragedy, so they form an anonymous group of girls at Prescott High to resist the sexist culture at their school, which includes boycotting sex of any kind with the male students. Told in alternating perspectives, this groundbreaking novel is an indictment of rape culture and explores with bold honesty the deepest questions about teen girls and sexuality.",2019-07-09,young adult fiction,2,0.25647327,1.6875132,2.0480917
17,18,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,Sapphire,Push,,,,"A courageous and determined young teacher opens up a new world of hope and redemption for sixteen-year-old Precious Jones, an abused young African-American girl living in Harlem, who was raped and left pregnant by her father. Reprint. 75,000 first printing.",1996,fiction,9,1.348695,0.3096872,-0.9788814
18,19,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Sebold, Alice",Lucky,,,,"An acclaimed journalist shares the gripping story of her rape when she was a college freshman, achieving justice in the courtroom, and triumphing in the face of violence.",2017-05-02,biography & autobiography,1,0.8121967,0.21565203,2.2568774
19,20,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Smyth, Ciara",Not My Problem,,,,"Perfect for fans of Becky Albertalli and Nina LaCour, this queer coming-of-age story from the author of The Falling in Love Montage is wry, multilayered, and unflinchingly honest. Aideen has plenty of problems she can’t solve. But when she stumbles upon overachiever Meabh Kowalska having a full-blown meltdown, she sees one that she can actually fix. Meabh is desperate to escape her crushing pile of extracurriculars. Aideen volunteers to help—by pushing her down the stairs. Problem? Solved. Meabh’s sprained ankle is the perfect excuse to ditch her overwhelming schedule. But when one of their classmates learns about their little scheme, more “clients” start asking for Aideen’s “help”—kicking off a semester of traded favors, ill-advised hijinks, and even an unexpected chance at love. Fixing other people’s problems won’t fix her own. But it might be the push Aideen needs to start.",2021-05-25,young adult fiction,10,-1.3859321,-0.116454504,-2.74921
20,21,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Tamaki, Mariko",This One Summer,,Jillian Tamaki,,"A 2015 Caldecott Honor Book A 2015 Michael L. Printz Honor Book Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. One of the local teens - just a couple of years older than Rose and Windy - is caught up in something bad... Something life threatening. It's a summer of secrets, and sorrow, and growing up, and it's a good thing Rose and Windy have each other. This One Summer is a tremendously exciting new teen graphic novel from two creators with true literary clout. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of childhood - a story of renewal and revelation. This title has Common Core connections.",2014-05-06,young adult fiction,10,-2.2669857,0.56975096,-0.3500624
21,22,Florida,Clay County Schools,Administrator,December 2021,Banned from Libraries and Classrooms,"Johnson, George M.",All Boys Aren't Blue,,,,"*An Amazon Best Book of the Year optioned for television by Gabrielle Union!* In a series of personal essays, prominent journalist and LGBTQIA+ activist George M. Johnson explores his childhood, adolescence, and college years in New Jersey and Virginia. From the memories of getting his teeth kicked out by bullies at age five, to flea marketing with his loving grandmother, to his first sexual relationships, this young-adult memoir weaves together the trials and triumphs faced by Black queer boys. Both a primer for teens eager to be allies as well as a reassuring testimony for young queer men of color, All Boys Aren't Blue covers topics such as gender identity, toxic masculinity, brotherhood, family, structural marginalization, consent, and Black joy. Johnson's emotionally frank style of writing will appeal directly to young adults.",2020-04-28,young adult nonfiction,1,1.0009259,-2.0634553,2.1405065
22,23,Florida,Flagler School District,Administrator,November 2021,Banned Pending Investigation,"Anderson, Laurie Halse",Speak,,,,"The first ten lies they tell you in high school. ""Speak up for yourself--we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication. In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself. Speak was a 1999 National Book Award Finalist for Young People's Literature.",1999-10-22,young adult fiction,10,-3.9495711,1.5514116,-1.6567775
23,25,Florida,Flagler School District,Administrator,November 2021,Banned Pending Investigation,"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,,,,"The National Book Award winning history of how racist ideas were created, spread, and deeply rooted in American society. Some Americans insist that we're living in a post-racial society. But racist thought is not just alive and well in America -- it is more sophisticated and more insidious than ever. And as award-winning historian Ibram X. Kendi argues, racist ideas have a long and lingering history, one in which nearly every great American thinker is complicit. In this deeply researched and fast-moving narrative, Kendi chronicles the entire story of anti-black racist ideas and their staggering power over the course of American history. He uses the life stories of five major American intellectuals to drive this history: Puritan minister Cotton Mather, Thomas Jefferson, abolitionist William Lloyd Garrison, W.E.B. Du Bois, and legendary activist Angela Davis. As Kendi shows, racist ideas did not arise from ignorance or hatred. They were created to justify and rationalize deeply entrenched discriminatory policies and the nation's racial inequities. In shedding light on this history, Stamped from the Beginning offers us the tools we need to expose racist thinking. In the process, he gives us reason to hope.",2016-04-12,history,7,4.319179,0.18612,1.8080516
24,26,Florida,Flagler School District,Administrator,November 2021,Banned Pending Investigation,"Thomas, Angie",The Hate U Give,,,,"8 starred reviews · Goodreads Choice Awards Best of the Best · William C. Morris Award Winner · National Book Award Longlist · Printz Honor Book · Coretta Scott King Honor Book · #1 New York Times Bestseller! ""Absolutely riveting!"" —Jason Reynolds ""Stunning."" —John Green ""This story is necessary. This story is important."" —Kirkus (starred review) ""Heartbreakingly topical."" —Publishers Weekly (starred review) ""A marvel of verisimilitude."" —Booklist (starred review) ""A powerful, in-your-face novel."" —Horn Book (starred review) Sixteen-year-old Starr Carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Khalil was unarmed. Soon afterward, his death is a national headline. Some are calling him a thug, maybe even a drug dealer and a gangbanger. Protesters are taking to the streets in Khalil’s name. Some cops and the local drug lord try to intimidate Starr and her family. What everyone wants to know is: what really went down that night? And the only person alive who can answer that is Starr. But what Starr does—or does not—say could upend her community. It could also endanger her life. Want more of Garden Heights? Catch Maverick and Seven’s story in Concrete Rose, Angie Thomas's powerful prequel to The Hate U Give.",2017-02-28,young adult fiction,1,3.1510048,-5.7543216,0.644766
25,27,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Àbíké-Íyímídé, Faridah",Ace of Spades,,,,"Gossip Girl meets Get Out in Ace of Spades, a YA contemporary thriller by debut author Faridah Àbíké-Íyímídé about two students, Devon & Chiamaka, and their struggles against an anonymous bully. All you need to know is . . . I’m here to divide and conquer. Like all great tyrants do. —Aces When two Niveus Private Academy students, Devon Richards and Chiamaka Adebayo, are selected to be part of the elite school’s senior class prefects, it looks like their year is off to an amazing start. After all, not only does it look great on college applications, but it officially puts each of them in the running for valedictorian, too. Shortly after the announcement is made, though, someone who goes by Aces begins using anonymous text messages to reveal secrets about the two of them that turn their lives upside down and threaten every aspect of their carefully planned futures. As Aces shows no sign of stopping, what seemed like a sick prank quickly turns into a dangerous game, with all the cards stacked against them. Can Devon and Chiamaka stop Aces before things become incredibly deadly? With heart-pounding suspense and relevant social commentary comes a high-octane thriller from debut author Faridah Àbíké-Íyímídé.",2021-06-01,young adult fiction,1,-0.5571184,-0.38259587,-0.85853016
26,28,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Acevedo, Elizabeth",The Poet X,,,,"Winner of the National Book Award for Young People’s Literature, the Michael L. Printz Award, and the Pura Belpré Award! Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing New York Times-bestselling novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth. Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking. But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about. With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems. Because in the face of a world that may not want to hear her, Xiomara refuses to be silent. “Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost “Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street This young adult novel, a selection of the Schomburg Center's Black Liberation Reading List, is an excellent choice for accelerated tween readers in grades 6 to 8. Plus don't miss Elizabeth Acevedo's With the Fire on High and Clap When You Land!",2018-03-06,young adult fiction,1,1.3601086,-0.85516936,-0.45158935
27,29,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",,,,"A deliciously funny romp of a novel about one overly theatrical and sexually confused New Jersey teenager’s larcenous quest for his acting school tuition It’s 1983 in Wallingford, New Jersey, a sleepy bedroom community outside of Manhattan. Seventeen-year-old Edward Zanni, a feckless Ferris Bueller–type, is Peter Panning his way through a carefree summer of magic and mischief. The fun comes to a halt, however, when Edward’s father remarries and refuses to pay for Edward to study acting at Juilliard. Edward’s truly in a bind. He’s ineligible for scholarships because his father earns too much. He’s unable to contact his mother because she’s somewhere in Peru trying to commune with Incan spirits. And, as a sure sign he’s destined for a life in the arts, Edward’s incapable of holding down a job. So he turns to his loyal (but immoral) misfit friends to help him steal the tuition money from his father, all the while practicing for his high school performance of Grease. Disguising themselves as nuns and priests, they merrily scheme their way through embezzlement, money laundering, identity theft, forgery, and blackmail. But, along the way, Edward also learns the value of friendship, hard work, and how you’re not really a man until you can beat up your father—metaphorically, that is. How I Paid for College is a farcical coming-of-age story that combines the first-person tone of David Sedaris with the byzantine plot twists of Armistead Maupin. It is a novel for anyone who has ever had a dream or a scheme, and it marks the introduction to an original and audacious talent.",2004-09-07,fiction,3,-3.2396088,-3.0627437,2.440915
28,30,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,,"Forney, Ellen",,"Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and four-color interior art throughout, this edition is perfect for fans and collectors alike.",2012-01-10,young adult fiction,3,-0.7960725,-2.5782933,1.4345236
29,31,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Alger, Cristina",Girls Like Us (2019),,,,"An Instant New York Times Bestseller From the New York Times bestselling author of The Banker's Wife, worlds collide when an FBI agent investigates a string of grisly murders on Long Island that raises the impossible question: What happens when the primary suspect is your father? FBI Agent Nell Flynn hasn't been home in ten years. Nell and her father, Homicide Detective Martin Flynn, have never had much of a relationship. And Suffolk County will always be awash in memories of her mother, Marisol, who was murdered when Nell was just seven. When Martin Flynn dies in a motorcycle accident, Nell returns to the house she grew up in so that she can spread her father's ashes and close his estate. At the behest of her father's partner, Detective Lee Davis, Nell becomes involved in an investigation into the murders of two young women in Suffolk County. The further Nell digs, the more likely it seems to her that her father should be the prime suspect--and that his friends on the police force are covering his tracks. Plagued by doubts about her mother's murder--and her own role in exonerating her father in that case--Nell can't help but ask questions about who killed Ria Ruiz and Adriana Marques and why. But she may not like the answers she finds--not just about those she loves, but about herself.",2020-04-07,fiction,6,-2.8440013,-1.039067,2.5290112
30,32,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Allende, Isabel",The House of the Spirits,,,,The Trueba family embodies strong feelings. This family saga starts at the beginning of the 20th century and continues through the assassination of Allende in 1973.,2015-12-15,fiction,0,3.5729258,1.7665101,2.3849068
31,33,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Allison, Anthony",Hear These Voices: Youth at the Edge of the Millennium,,,,"Presents case studies of teenagers living with homelessness, prostitution, alcoholism, and neighborhood violence and interviews with staff members from organizations committed to helping teenagers in crisis.",2001-10-01,youth,4,6.159843,4.9715137,1.0734985
32,35,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Anderson, M. T.",Feed,,,,"In a future where most people have computer implants in their heads to control their environment, a boy meets an unusual girl who is in serious trouble.",2012,juvenile fiction,4,0.12102064,3.569079,1.281453
33,38,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Applegate, Katherine",Wishtree,,"Santoso, Charles",,"""A red oak tree and a crow help their human neighbors work out their differences""--",2017-09-26,juvenile fiction,4,2.1200712,3.3401914,-0.90757877
34,39,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Asher, Jay",Thirteen Reasons Why,,,,"Includes an introduction by the author, alternate ending, early notes and ideas, deleted scenes, discussion guide, and town map on reverse side of jacket.",2016,young adult fiction,11,6.3396125,0.13377006,3.4046068
